Category,Precision,Recall,F1-Score,Support,Experiment
Issue,0.0889,0.1481,0.1111,27.0,law-LLM_Chain-of-Thought
Rule/Law/Holding,0.0303,0.0294,0.0299,34.0,law-LLM_Chain-of-Thought
Analysis,0.0833,0.0109,0.0192,92.0,law-LLM_Chain-of-Thought
Conclusion,0.1923,0.1724,0.1818,58.0,law-LLM_Chain-of-Thought
Others,0.0339,0.2286,0.059,35.0,law-LLM_Chain-of-Thought
Facts,0.9141,0.9027,0.9084,401.0,Llama-3-8B_Fine-tuned
Issue,0.5909,0.963,0.7324,27.0,Llama-3-8B_Fine-tuned
Rule/Law/Holding,0.7059,0.7059,0.7059,34.0,Llama-3-8B_Fine-tuned
Analysis,0.7273,0.4348,0.5442,92.0,Llama-3-8B_Fine-tuned
Conclusion,0.573,0.8793,0.6939,58.0,Llama-3-8B_Fine-tuned
Others,0.5862,0.4857,0.5312,35.0,Llama-3-8B_Fine-tuned
Facts,0.906,0.9377,0.9216,401.0,LegalBERT_Fine-tuned
Issue,0.8636,0.7037,0.7755,27.0,LegalBERT_Fine-tuned
Rule/Law/Holding,0.7857,0.3235,0.4583,34.0,LegalBERT_Fine-tuned
Analysis,0.5636,0.6739,0.6139,92.0,LegalBERT_Fine-tuned
Conclusion,0.6667,0.7586,0.7097,58.0,LegalBERT_Fine-tuned
Others,0.7,0.4,0.5091,35.0,LegalBERT_Fine-tuned
